month,year,temp,dew,humidity,precip,windspeed,conditions
Feb,2021,-1.0,-7.1,66.8,0.0,33.4,Clear
Feb,2021,7.5,-1.2,59.0,0.0,38.8,Clear
Feb,2021,7.9,-2.3,51.8,0.0,51.5,Clear
Feb,2021,8.3,-8.0,38.5,0.0,44.4,Clear
Feb,2021,11.8,-8.3,33.4,0.0,44.5,Clear
Feb,2021,9.3,-5.8,35.6,0.0,35.3,Clear
Feb,2021,4.1,-7.5,44.8,0.0,31.6,Partially cloudy
Feb,2021,8.0,-5.9,42.5,0.0,36.9,Partially cloudy
Feb,2021,12.1,-11.2,26.6,0.0,40.5,Partially cloudy
Feb,2021,9.1,-12.0,22.7,0.0,36.9,Partially cloudy
Mar,2021,5.6,-11.7,29.7,0.0,35.2,Partially cloudy
Mar,2021,5.8,-9.2,42.6,0.022,25.9,"Snow, Rain"
Mar,2021,11.4,-12.0,23.4,0.0,27.6,Clear
Mar,2021,16.2,-5.4,25.6,0.0,60.9,Partially cloudy
Mar,2021,9.5,0.9,56.4,0.0,49.9,Partially cloudy
Mar,2021,7.8,-1.4,58.0,0.0,24.1,Clear
Mar,2021,10.4,1.2,54.9,0.0,40.6,Partially cloudy
Mar,2021,14.0,4.9,56.5,0.0,42.3,Partially cloudy
Mar,2021,16.2,8.6,63.1,0.0,49.7,Partially cloudy
Mar,2021,18.7,2.3,46.9,0.0,51.6,Clear
Mar,2021,14.7,4.0,58.3,0.0,33.4,Partially cloudy
Mar,2021,17.2,12.2,73.7,29.872,33.1,"Rain, Overcast"
Mar,2021,16.8,10.0,69.9,0.267,46.3,"Rain, Partially cloudy"
Mar,2021,10.3,-4.6,37.6,0.0,57.4,Partially cloudy
Mar,2021,12.2,-2.1,40.6,0.0,31.5,Partially cloudy
Mar,2021,18.5,-6.2,21.1,0.0,46.4,Partially cloudy
Mar,2021,7.5,-3.6,47.7,0.0,68.3,Partially cloudy
Mar,2021,7.5,-4.0,48.8,0.0,29.5,Partially cloudy
Mar,2021,7.7,-1.4,56.4,0.0,16.5,Clear
Mar,2021,11.6,-0.6,47.6,0.0,40.5,Clear
Mar,2021,15.8,0.5,38.3,0.0,36.8,Partially cloudy
Mar,2021,12.2,6.4,68.6,27.779,40.5,"Rain, Partially cloudy"
Mar,2021,9.0,2.2,65.7,0.0,27.7,Partially cloudy
Mar,2021,6.8,1.4,68.8,0.0,44.4,Partially cloudy
Mar,2021,8.8,-1.4,55.6,0.0,38.9,Partially cloudy
Mar,2021,16.0,-4.3,27.8,0.0,40.5,Partially cloudy
Mar,2021,13.9,-1.0,37.1,0.0,31.6,Partially cloudy
Mar,2021,12.3,-2.4,41.8,0.0,25.9,Clear
Mar,2021,18.6,-4.4,22.4,0.0,46.3,Partially cloudy
Mar,2021,14.4,-1.6,34.6,0.0,40.4,Partially cloudy
Mar,2021,9.3,-7.3,32.1,0.0,31.5,Partially cloudy
Apr,2021,10.8,-7.5,29.9,0.0,31.6,Partially cloudy
Apr,2021,13.2,-2.1,35.3,0.0,40.6,Partially cloudy
Apr,2021,14.8,5.6,56.0,0.0,25.8,Partially cloudy
Apr,2021,17.1,9.7,63.7,0.0,35.0,Partially cloudy
Apr,2021,19.2,10.1,59.8,0.0,44.4,Partially cloudy
Apr,2021,22.6,1.4,38.4,0.0,40.6,Partially cloudy
Apr,2021,15.3,-3.4,32.0,0.0,35.4,Clear
Apr,2021,16.7,-2.4,31.7,0.0,27.6,Partially cloudy
Apr,2021,19.0,-3.5,24.1,0.0,51.6,Partially cloudy
Apr,2021,12.5,-4.8,35.0,0.0,22.2,Clear
Apr,2021,19.3,-7.0,20.3,0.0,29.2,Partially cloudy
Apr,2021,13.8,-3.4,31.8,0.0,48.1,Partially cloudy
Apr,2021,11.6,-3.6,37.1,0.0,33.2,Partially cloudy
Apr,2021,9.0,5.1,77.2,0.295,27.6,"Rain, Overcast"
Apr,2021,8.3,7.4,94.2,2.274,27.6,"Rain, Overcast"
Apr,2021,9.9,5.7,77.4,1.48,35.2,"Rain, Overcast"
Apr,2021,7.5,-1.0,56.5,0.0,25.9,Overcast
Apr,2021,10.4,-3.7,43.7,0.0,20.4,Partially cloudy
Apr,2021,13.2,-2.2,38.4,0.0,33.3,Partially cloudy
Apr,2021,7.3,-3.8,47.9,0.0,44.5,Partially cloudy
Apr,2021,6.6,-6.6,41.5,0.0,36.8,Partially cloudy
Apr,2021,10.4,0.3,50.5,0.0,35.1,Overcast
Apr,2021,19.0,2.8,47.5,0.0,42.2,Partially cloudy
Apr,2021,16.2,0.1,40.1,0.0,36.7,Clear
Apr,2021,21.6,0.2,32.9,0.0,42.3,Partially cloudy
Apr,2021,24.6,-1.3,23.4,0.0,46.3,Overcast
Apr,2021,24.1,5.5,37.5,0.0,29.4,Partially cloudy
Apr,2021,18.6,8.0,54.6,0.0,38.8,Partially cloudy
Apr,2021,16.1,6.3,53.9,0.984,38.8,"Rain, Overcast"
Apr,2021,17.3,4.4,45.2,0.0,27.5,Partially cloudy
May,2021,18.2,9.3,59.3,0.295,29.4,"Rain, Partially cloudy"
May,2021,23.4,3.9,45.9,0.0,44.5,Partially cloudy
May,2021,17.9,7.1,54.5,0.88,46.3,"Rain, Partially cloudy"
May,2021,14.2,5.1,57.8,0.0,40.7,Partially cloudy
May,2021,18.1,5.8,47.3,0.0,31.6,Clear
May,2021,19.5,6.1,44.2,0.0,38.6,Partially cloudy
May,2021,22.8,7.3,42.1,0.008,58.6,"Rain, Partially cloudy"
May,2021,26.0,0.2,27.8,0.004,55.2,"Rain, Partially cloudy"
May,2021,20.2,2.9,35.3,0.0,35.2,Partially cloudy
May,2021,14.3,6.0,58.9,0.0,42.3,Partially cloudy
May,2021,11.0,8.5,84.6,0.896,35.0,"Rain, Overcast"
May,2021,13.2,4.1,56.8,0.0,29.5,Partially cloudy
May,2021,15.8,7.3,60.5,0.0,33.3,Partially cloudy
May,2021,19.2,10.9,62.1,0.1,44.4,"Rain, Partially cloudy"
May,2021,21.7,13.0,60.5,18.315,40.1,"Rain, Partially cloudy"
May,2021,20.3,14.7,71.6,8.902,29.3,"Rain, Partially cloudy"
May,2021,20.1,12.7,63.7,2.841,33.4,"Rain, Partially cloudy"
May,2021,18.2,10.6,64.4,0.042,33.3,"Rain, Partially cloudy"
May,2021,17.3,11.9,72.4,18.243,31.4,"Rain, Partially cloudy"
May,2021,20.6,13.5,67.6,0.0,35.2,Partially cloudy
May,2021,22.3,14.5,64.2,0.0,42.4,Partially cloudy
May,2021,21.6,15.2,69.3,0.0,46.3,Partially cloudy
May,2021,21.7,16.4,73.8,0.59,38.8,"Rain, Overcast"
May,2021,21.8,15.6,70.1,18.879,46.4,"Rain, Overcast"
May,2021,21.7,15.2,67.8,29.245,37.0,"Rain, Partially cloudy"
May,2021,24.5,17.1,65.3,0.761,44.2,"Rain, Partially cloudy"
May,2021,25.7,14.9,57.7,0.507,31.6,"Rain, Partially cloudy"
May,2021,21.1,14.9,69.4,15.099,44.3,"Rain, Partially cloudy"
May,2021,18.7,14.7,78.3,2.984,40.5,"Rain, Partially cloudy"
May,2021,20.8,16.1,75.6,0.028,35.2,"Rain, Partially cloudy"
May,2021,17.0,14.2,84.0,29.215,44.4,"Rain, Partially cloudy"
Jun,2021,18.5,13.2,73.1,0.025,18.3,"Rain, Partially cloudy"
Jun,2021,20.2,13.4,68.1,0.753,16.5,"Rain, Partially cloudy"
Jun,2021,19.9,12.8,65.8,21.613,38.4,"Rain, Partially cloudy"
Jun,2021,21.3,12.9,60.8,0.0,24.0,Partially cloudy
Jun,2021,22.0,14.4,64.9,0.0,31.5,Partially cloudy
Jun,2021,24.8,16.5,63.3,0.0,33.4,Partially cloudy
Jun,2021,26.9,16.6,57.1,0.135,24.0,"Rain, Partially cloudy"
Jun,2021,28.1,15.0,46.5,0.015,40.4,"Rain, Partially cloudy"
Jun,2021,30.8,15.4,47.2,0.007,29.4,"Rain, Partially cloudy"
Jun,2021,29.9,19.5,56.8,0.0,37.0,Partially cloudy
Jun,2021,32.0,14.0,41.1,0.0,27.6,Partially cloudy
Jun,2021,29.6,17.3,50.6,0.0,35.1,Partially cloudy
Jun,2021,28.7,17.5,54.2,0.007,33.3,"Rain, Partially cloudy"
Jun,2021,26.8,16.1,54.2,0.0,33.3,Partially cloudy
Jun,2021,27.0,15.1,51.8,0.0,20.4,Partially cloudy
Jun,2021,28.7,11.3,38.5,0.0,31.4,Partially cloudy
Jun,2021,28.7,9.7,32.7,0.0,27.4,Partially cloudy
Jun,2021,28.3,9.6,33.7,0.0,33.2,Clear
Jun,2021,28.6,11.9,39.6,0.0,27.6,Partially cloudy
Jun,2021,30.0,12.7,36.6,0.0,31.5,Partially cloudy
Jun,2021,23.4,13.3,53.5,0.0,49.9,Partially cloudy
Jun,2021,24.2,11.0,44.7,0.0,29.5,Partially cloudy
Jun,2021,30.1,16.2,46.2,0.0,38.8,Partially cloudy
Jun,2021,30.2,15.6,43.9,0.0,36.9,Partially cloudy
Jun,2021,29.3,17.8,51.2,1.77,44.5,"Rain, Partially cloudy"
Jun,2021,26.9,17.2,56.9,12.92,81.6,"Rain, Partially cloudy"
Jun,2021,21.4,16.1,72.7,0.791,29.6,"Rain, Overcast"
Jun,2021,20.6,16.8,79.3,0.811,27.6,"Rain, Overcast"
Jun,2021,21.3,18.2,82.9,13.754,20.3,"Rain, Partially cloudy"
Jun,2021,23.5,18.6,75.2,0.0,22.3,Partially cloudy
Jul,2021,25.4,18.1,66.2,0.0,20.4,Partially cloudy
Jul,2021,23.1,18.9,77.4,1.625,25.7,"Rain, Partially cloudy"
Jul,2021,24.8,18.9,71.4,0.0,25.7,Partially cloudy
Jul,2021,25.7,19.0,69.3,0.0,27.6,Partially cloudy
Jul,2021,25.6,19.5,70.5,0.498,27.5,"Rain, Partially cloudy"
Jul,2021,24.4,17.9,69.5,0.0,27.6,Partially cloudy
Jul,2021,25.1,16.8,63.5,0.0,20.3,Partially cloudy
Jul,2021,26.8,16.5,56.8,0.0,22.2,Partially cloudy
Jul,2021,27.4,16.3,53.0,0.0,24.1,Partially cloudy
Jul,2021,27.0,17.6,59.6,0.0,24.0,Partially cloudy
Jul,2021,24.4,18.3,69.6,1.553,27.6,"Rain, Partially cloudy"
Jul,2021,24.1,17.5,69.5,7.34,36.7,"Rain, Partially cloudy"
Jul,2021,25.2,15.7,58.4,0.0,31.6,Partially cloudy
Jul,2021,25.7,15.5,55.8,0.0,40.5,Partially cloudy
Jul,2021,27.1,15.8,52.2,4.411,35.2,"Rain, Partially cloudy"
Jul,2021,25.1,18.8,70.2,15.106,25.6,"Rain, Partially cloudy"
Jul,2021,27.2,18.8,62.8,0.0,29.4,Partially cloudy
Jul,2021,26.6,17.8,60.8,0.141,29.3,"Rain, Partially cloudy"
Jul,2021,24.8,18.5,69.6,32.447,31.4,"Rain, Partially cloudy"
Jul,2021,23.6,17.1,68.8,0.0,18.3,Partially cloudy
Jul,2021,22.7,14.1,60.7,0.0,16.5,Partially cloudy
Jul,2021,24.3,14.8,58.8,0.0,31.4,Partially cloudy
Jul,2021,25.9,16.8,59.3,0.0,29.4,Partially cloudy
Jul,2021,28.2,16.8,52.0,0.0,22.1,Partially cloudy
Jul,2021,29.2,16.7,48.8,0.15,24.0,"Rain, Partially cloudy"
Jul,2021,27.3,15.9,52.2,0.0,31.5,Partially cloudy
Jul,2021,27.8,14.5,49.3,0.0,18.2,Partially cloudy
Jul,2021,27.1,15.5,49.9,0.0,35.1,Partially cloudy
Jul,2021,26.8,16.5,55.8,0.0,20.4,Partially cloudy
Jul,2021,27.4,16.2,52.5,1.402,27.4,"Rain, Partially cloudy"
Jul,2021,28.4,15.9,50.4,0.0,22.2,Partially cloudy
Aug,2021,23.7,18.2,72.6,3.376,34.9,"Rain, Partially cloudy"
Aug,2021,23.6,14.2,59.5,0.0,18.3,Partially cloudy
Aug,2021,22.5,9.8,48.7,0.0,18.3,Clear
Aug,2021,22.9,10.6,49.9,0.0,14.6,Partially cloudy
Aug,2021,27.1,13.1,44.2,0.0,29.2,Partially cloudy
Aug,2021,27.9,13.7,44.6,0.0,27.5,Clear
Aug,2021,28.2,15.9,48.9,0.0,36.9,Partially cloudy
Aug,2021,29.4,15.8,45.9,0.0,36.8,Clear
Aug,2021,30.2,16.6,46.0,0.0,31.5,Partially cloudy
Aug,2021,29.8,17.1,47.5,0.0,35.0,Partially cloudy
Aug,2021,28.9,15.4,44.7,0.0,36.8,Partially cloudy
Aug,2021,27.5,15.9,50.3,1.774,45.7,"Rain, Partially cloudy"
Aug,2021,24.9,16.9,64.5,0.044,33.3,"Rain, Partially cloudy"
Aug,2021,21.3,17.9,81.4,48.744,20.3,"Rain, Partially cloudy"
Aug,2021,23.9,17.7,70.6,0.0,14.7,Partially cloudy
Aug,2021,24.2,17.3,67.7,32.07,40.3,"Rain, Partially cloudy"
Aug,2021,21.7,17.7,78.7,6.281,25.7,"Rain, Partially cloudy"
Aug,2021,23.6,19.1,76.7,0.0,22.2,Partially cloudy
Aug,2021,27.1,19.9,67.6,0.0,25.8,Partially cloudy
Aug,2021,27.3,18.1,58.8,0.0,29.4,Partially cloudy
Aug,2021,26.5,18.6,62.4,0.0,31.5,Partially cloudy
Aug,2021,26.9,17.2,57.4,0.0,33.3,Partially cloudy
Aug,2021,27.6,13.3,42.3,0.0,33.2,Partially cloudy
Aug,2021,28.1,14.5,44.8,0.0,29.3,Partially cloudy
Aug,2021,28.0,15.4,47.8,0.0,27.6,Partially cloudy
Aug,2021,26.1,15.9,55.8,0.0,24.0,Clear
Aug,2021,26.3,16.2,56.5,0.0,18.3,Partially cloudy
